"name","time","Car","temp","pH","EC","t","chlla","S","TDS","GROUP"
"石門水庫二","2017/2/7 上午 10:57:00",46,"18.2","7.2","229","1.7","2.7","0.016","3.9",2
"石門水庫二","2017/1/6 上午 11:06:00",46,"19.9","7.4","216","2.5","4.4","0.019","1.6",2
"石門水庫三","2017/4/7 上午 10:43:00",42,"21.1","7.1","245","2.5","3.3","0.01","3.8",2
"石門水庫三","2017/3/9 上午 11:10:00",50,"16.4","7.8","239","0.7","1.5","0.027","11",2
"石門水庫三","2017/2/7 上午 10:40:00",42,"18.4","7.3","228","2","1.5","0.014","2.7",2
"石門水庫三","2017/1/6 上午 10:51:00",41,"20.1","7.1","215","2.8","2.5","0.01","2.6",2
"石門水庫四","2017/4/7 上午 10:30:00",43,"20.7","7.1","244","2.6","3.1","0.012","3.4",2
"石門水庫四","2017/3/9 上午 10:56:00",51,"16.4","7.8","238","0.8","2.6","0.026","12",3
"石門水庫四","2017/2/7 上午 10:21:00",43,"18.1","7","231","2.8","1.8","0.019","3.5",2
"石門水庫四","2017/1/6 上午 10:29:00",43,"19.9","7.1","214","2.4","2.7","0.014","1.8",2
"石門水庫五","2017/4/7 上午 10:09:00",45,"20.9","7.2","248","2","5.5","0.011","5.7",2
"石門水庫五","2017/3/9 上午 10:40:00",55,"16.4","7.8","239","0.6","4.2","0.03","13",3
"石門水庫五","2017/2/7 上午 10:00:00",42,"18.1","7.3","230","2.7","1.7","0.016","3.2",2
"石門水庫五","2017/1/6 上午 10:06:00",43,"20","7.3","215","2.6","3.4","0.011","1.8",2
"寶山水庫一","2017/4/7 上午 09:07:00",52,"21.9","8.5","340","0.9","4.9","0.022","3.3",3
"寶山水庫一","2017/3/17 上午 10:45:00",42,"16.7","8.1","331","2.6","1.2","0.02","4.3",2
"寶山水庫一","2017/2/7 上午 09:25:00",51,"17.4","7.6","376","1","3.5","0.024","5.2",3
"寶山水庫一","2017/1/6 上午 08:55:00",48,"19.8","8.2","362","2.3","5.9","0.022","1.4",2
"寶山水庫二","2017/4/7 上午 09:25:00",50,"22","8.7","328","1.4","6.7","0.018","3.9",2
"寶山水庫二","2017/3/17 上午 11:00:00",50,"16.6","8.3","347","1.9","8.2","0.02","3.5",2
"寶山水庫二","2017/2/7 上午 09:40:00",50,"17.5","8.1","347","1.4","4.6","0.024","3.5",2
"寶山水庫二","2017/1/6 上午 09:05:00",50,"19.6","8.4","334","1.6","9.1","0.017","2.6",2
"寶山水庫三","2017/4/7 上午 09:39:00",51,"22.2","8.8","329","1.2","5.8","0.022","3.3",3
"寶山水庫三","2017/3/17 上午 11:13:00",50,"16.7","8.2","348","1.9","7.8","0.02","3.6",2
"寶山水庫三","2017/2/7 上午 09:53:00",54,"17.9","8.2","338","1.2","9","0.027","4.9",3
"寶山水庫三","2017/1/6 上午 09:14:00",50,"19.8","8.4","324","1.6","7.1","0.019","2.7",2
"寶山水庫四","2017/4/7 上午 09:50:00",51,"22","8.8","326","1.1","5.1","0.02","2.8",3
"寶山水庫四","2017/3/17 上午 11:25:00",49,"16.5","8.2","347","1.9","7.2","0.02","3.3",2
"寶山水庫四","2017/2/7 上午 10:05:00",51,"17.8","8.3","341","1.2","5.5","0.02","4.2",3
"寶山水庫四","2017/1/6 上午 09:24:00",49,"19.7","8.4","330","2","7","0.021","2.8",2
"太湖","2017/1/17 上午 10:35:00",68,"16.1","7.7","405","1","82.7","0.089","12",3
"榮湖","2017/1/16 下午 01:25:00",66,"15.3","8","525","0.9","61.6","0.077","10",3
"田浦","2017/1/17 下午 01:15:00",63,"16.1","7.9","384","0.5","7.4","0.097","16",3
"擎天","2017/1/17 上午 09:20:00",62,"14.3","8","323","1.3","37.8","0.057","3.5",3
"西湖","2017/1/16 上午 10:00:00",75,"15","8","1070","0.4","80.5","0.156","26",3
"蓮湖","2017/1/16 上午 08:25:00",62,"14.6","7.7","711","1.2","27.4","0.065","5.9",3
"菱湖","2017/1/16 上午 09:10:00",67,"14.8","7.4","814","0.8","39.8","0.094","10",3
"山西","2017/1/17 下午 02:10:00",54,"16.7","7.7","367","1.6","20.7","0.02","3.4",3
"金沙","2017/1/16 下午 12:35:00",70,"15.2","7.9","514","0.7","62.8","0.12","13",3
"勝利","2017/2/16 上午 11:58:00",54,"14.7","8.7","594","1.6","11.4","0.034","3",3
"后沃","2017/2/16 上午 08:35:00",49,"12.5","7.9","4230","1.7","6.1","0.019","1.8",2
"秋桂山","2017/2/16 上午 07:55:00",61,"12.9","8.1","646","1","25.9","0.049","6.1",3
"儲水沃下壩","2017/2/16 上午 09:15:00",37,"14.1","8.2","584","7","2.2","0.012","0.7",1
"儲水沃上壩","2017/2/16 上午 09:55:00",48,"14.2","8.1","555","1.5","4.9","0.017","1.8",2
"津沙","2017/2/16 上午 10:35:00",53,"13.9","8.3","553","1","7.9","0.023","3.5",3
"津沙一號壩","2017/2/16 上午 11:14:00",59,"14","8","563","1.6","21.6","0.063","2",3
"_里","2017/2/17 上午 09:28:00",52,"14.3","8.3","958","1.3","20.2","0.013","2.7",3
"東湧","2017/2/16 下午 01:30:00",54,"15.6","8.2","672","1.2","8.4","0.033","3.4",3
"樂道沃","2017/2/15 上午 11:17:00",51,"13.2","8.2","629","1.2","9.6","0.016","3.1",3
"菜浦沃","2017/2/15 上午 10:26:00",51,"14","7.7","829","1.6","10.4","0.019","3",3
"日月潭水庫一","2017/4/11 上午 09:35:00",33,"23.4","8.4","407","3.6","0.8","0.006","1.6",1
"日月潭水庫一","2017/3/8 上午 09:30:00",41,"18.8","8.2","478","2.2","2.1","0.01","1.2",2
"日月潭水庫一","2017/2/13 上午 09:05:00",38,"20.1","8.4","422","4","1.7","0.011","1.2",1
"日月潭水庫一","2017/1/17 上午 09:30:00",43,"20.9","8.3","406","2.6","2.8","0.015","1.2",2
"日月潭水庫二","2017/4/11 上午 10:48:00",38,"23.1","8.5","393","3.9","1.4","0.012","2.1",1
"日月潭水庫二","2017/3/8 上午 10:55:00",42,"19.1","8.3","403","1.6","1","0.013","2",2
"日月潭水庫二","2017/2/13 上午 11:22:00",39,"19.6","8.3","418","3.6","2.1","0.01","1.7",1
"日月潭水庫二","2017/1/17 上午 11:05:00",41,"21.5","8.3","406","3","1.8","0.014","1.6",2
"日月潭水庫三","2017/4/11 上午 10:30:00",37,"23","8.4","390","3.6","1.4","0.009","1.5",1
"日月潭水庫三","2017/3/8 上午 10:33:00",46,"19.1","8.3","388","2","2.6","0.021","1.5",2
"日月潭水庫三","2017/2/13 上午 10:49:00",38,"20.3","8.4","419","4.2","2","0.01","1.1",1
