time,tds,temp,ec,pH
2017/9/11 19:18:02,7.9,31,145.7,6.2653
2017/9/11 19:18:03,7.9,31,146,6.2691
2017/9/11 19:18:04,7.9,31,146.2,6.2753
2017/9/11 19:18:05,7.9,31,146.5,6.2776
2017/9/11 19:18:06,7.9,31,146.8,6.2829
2017/9/11 19:18:07,7.9,31,146.8,6.2683
2017/9/11 19:18:08,7.9,31,146.8,6.2653
2017/9/11 19:18:09,7.9,31,146.8,6.28
2017/9/11 19:18:10,7.9,31,146.9,6.28
2017/9/11 19:18:11,7.9,31,146.9,6.2791
2017/9/11 19:18:12,7.9,31,146.9,6.2861
2017/9/11 19:18:13,7.9,31,146.9,6.2849
2017/9/11 19:18:14,7.9,31,146.9,6.2639
2017/9/11 19:18:15,7.9,31,146.8,6.2715
2017/9/11 19:18:16,7.9,31,146.8,6.2776
2017/9/11 19:18:17,7.9,31,146.8,6.28
2017/9/11 19:18:18,7.9,31,146.8,6.2838
2017/9/11 19:18:19,7.9,31,146.8,6.2662
2017/9/11 19:18:20,7.9,31,146.8,6.2639
2017/9/11 19:18:21,7.9,31,146.8,6.2767
2017/9/11 19:18:22,7.9,31,146.8,6.2779
2017/9/11 19:18:23,7.9,31,146.8,6.2797
2017/9/11 19:18:25,7.9,31,146.8,6.2797
2017/9/11 19:18:26,7.9,31,146.8,6.2583
2017/9/11 19:18:27,7.9,31,146.8,6.2583
2017/9/11 19:18:28,7.9,31,146.7,6.2683
2017/9/11 19:18:29,7.9,31,146.6,6.2794
2017/9/11 19:18:30,7.9,31,146.7,6.2791
2017/9/11 19:18:31,7.9,31,146.7,6.2829
2017/9/11 19:18:32,7.9,31,146.8,6.2688
2017/9/11 19:18:33,7.9,31,146.7,6.2609
2017/9/11 19:18:34,7.9,31,146.7,6.2773
2017/9/11 19:18:35,7.9,31,146.7,6.2762
2017/9/11 19:18:36,7.9,31,146.8,6.2779
2017/9/11 19:18:37,7.9,31,146.8,6.2767
2017/9/11 19:18:38,7.9,31,146.9,6.2565
2017/9/11 19:18:39,7.9,31,146.9,6.2697
2017/9/11 19:18:40,7.9,31,146.9,6.2779
2017/9/11 19:18:41,7.9,31,147,6.277
2017/9/11 19:18:42,7.9,31,147,6.2823
2017/9/11 19:18:43,7.9,31,146.9,6.2668
2017/9/11 19:18:44,7.9,31,146.9,6.2668
2017/9/11 19:18:45,7.9,31,146.9,6.2604
2017/9/11 19:18:46,7.9,31,146.8,6.2753
2017/9/11 19:18:47,7.9,31,146.9,6.2776
